Year,Month,Notes,AircraftLanding,AircraftTake-ff,AircraftTotal,PassengerArrival,PassengerDeparture,PassengerTotal,FreightUnloadedTonnes,FreightLoadedTonnes,FreightTotalTon
1998,Jan,, 7 032  , 7 029  , 14 061  ,1 029 744  ,1 200 708  ,2 230 452  , 61 132 , 64 242 , 125 375 
1998,Feb,, 6 078  , 6 074  , 12 152  ,1 091 947  , 913 061  ,2 005 008  , 62 001 , 51 141 , 113 142 
1998,Mar,, 6 584  , 6 585  , 13 169  ,1 070 547  ,1 099 234  ,2 169 781  , 75 231 , 79 156 , 154 386 
1998,Apr,, 6 704  , 6 701  , 13 405  ,1 184 956  ,1 151 549  ,2 336 505  , 69 404 , 70 065 , 139 469 
1998,May,, 6 786  , 6 784  , 13 570  ,1 051 369  ,1 077 758  ,2 129 127  , 72 498 , 70 479 , 142 977 
1998,Jun,, 6 546  , 6 549  , 13 095  ,1 085 690  ,1 085 479  ,2 171 169  , 69 156 , 68 917 , 138 073 
1998,Jul,*, 6 944  , 6 947  , 13 891  ,1 203 855  ,1 238 250  ,2 442 105  , 45 968 , 49 252 , 95 221 
1998,Aug,, 7 195  , 7 194  , 14 389  ,1 334 642  ,1 269 286  ,2 603 928  , 56 173 , 64 362 , 120 534 
1998,Sep,, 6 826  , 6 828  , 13 654  ,1 021 237  ,1 097 754  ,2 118 991  , 61 249 , 78 228 , 139 477 
1998,Oct,, 7 127  , 7 112  , 14 239  ,1 246 202  ,1 173 786  ,2 419 988  , 66 381 , 88 081 , 154 462 
1998,Nov,, 6 737  , 6 741  , 13 478  ,1 095 185  ,1 062 187  ,2 157 372  , 66 855 , 90 629 , 157 485 
1998,Dec,, 7 057  , 7 063  , 14 120  ,1 219 615  ,1 204 751  ,2 424 366  , 68 496 , 79 644 , 148 141 
1999,Jan,, 6 803  , 6 809  , 13 612  ,1 072 733  ,1 080 788  ,2 153 521  , 62 389 , 71 177 , 133 566 
1999,Feb,, 6 619  , 6 615  , 13 234  ,1 165 738  ,1 177 213  ,2 342 951  , 56 367 , 60 932 , 117 299 
1999,Mar,, 6 904  , 6 919  , 13 823  ,1 141 608  ,1 158 939  ,2 300 547  , 70 664 , 86 221 , 156 884 
1999,Apr,, 6 994  , 6 995  , 13 989  ,1 266 402  ,1 222 643  ,2 489 045  , 67 720 , 88 335 , 156 054 
1999,May,, 6 960  , 6 935  , 13 895  ,1 156 803  ,1 163 977  ,2 320 780  , 71 316 , 87 789 , 159 105 
1999,Jun,, 6 626  , 6 651  , 13 277  ,1 110 030  ,1 135 203  ,2 245 233  , 66 394 , 85 257 , 151 651 
1999,Jul,, 7 144  , 7 145  , 14 289  ,1 330 977  ,1 369 445  ,2 700 422  , 70 096 , 95 223 , 165 319 
1999,Aug,, 7 174  , 7 169  , 14 343  ,1 408 157  ,1 339 286  ,2 747 443  , 65 910 , 96 744 , 162 654 
1999,Sep,, 6 803  , 6 805  , 13 608  ,1 113 918  ,1 153 682  ,2 267 600  , 69 492 , 104 617 , 174 108 
1999,Oct,, 7 266  , 7 264  , 14 530  ,1 316 375  ,1 277 962  ,2 594 337  , 80 596 , 119 429 , 200 025 
1999,Nov,, 7 078  , 7 081  , 14 159  ,1 235 095  ,1 217 614  ,2 452 709  , 77 657 , 125 220 , 202 877 
1999,Dec,, 7 315  , 7 295  , 14 610  ,1 234 434  ,1 213 548  ,2 447 982  , 82 560 , 112 188 , 194 749 
2000,Jan,, 6 908  , 6 926  , 13 834  ,1 125 875  ,1 166 816  ,2 292 691  , 71 559 , 90 464 , 162 022 
2000,Feb,, 7 010  , 7 014  , 14 024  ,1 305 123  ,1 233 741  ,2 538 864  , 61 923 , 74 265 , 136 187 
