year,month,monthnumber,aircraftlanding,aircrafttakeff,aircrafttotal,passengerarrival,passengerdeparture,passengertotal,freightunloadedtonnes,freightloadedtonnes,freighttotalton
1998,Jan,1,7032,7029,14061,1029744,1200708,2230452,61132,64242,125375
1998,Feb,2,6078,6074,12152,1091947,913061,2005008,62001,51141,113142
1998,Mar,3,6584,6585,13169,1070547,1099234,2169781,75231,79156,154386
1998,Apr,4,6704,6701,13405,1184956,1151549,2336505,69404,70065,139469
1998,May,5,6786,6784,13570,1051369,1077758,2129127,72498,70479,142977
1998,Jun,6,6546,6549,13095,1085690,1085479,2171169,69156,68917,138073
1998,Jul,7,6944,6947,13891,1203855,1238250,2442105,45968,49252,95221
1998,Aug,8,7195,7194,14389,1334642,1269286,2603928,56173,64362,120534
1998,Sep,9,6826,6828,13654,1021237,1097754,2118991,61249,78228,139477
1998,Oct,10,7127,7112,14239,1246202,1173786,2419988,66381,88081,154462
1998,Nov,11,6737,6741,13478,1095185,1062187,2157372,66855,90629,157485
1998,Dec,12,7057,7063,14120,1219615,1204751,2424366,68496,79644,148141
1999,Jan,1,6803,6809,13612,1072733,1080788,2153521,62389,71177,133566
1999,Feb,2,6619,6615,13234,1165738,1177213,2342951,56367,60932,117299
1999,Mar,3,6904,6919,13823,1141608,1158939,2300547,70664,86221,156884
1999,Apr,4,6994,6995,13989,1266402,1222643,2489045,67720,88335,156054
1999,May,5,6960,6935,13895,1156803,1163977,2320780,71316,87789,159105
1999,Jun,6,6626,6651,13277,1110030,1135203,2245233,66394,85257,151651
1999,Jul,7,7144,7145,14289,1330977,1369445,2700422,70096,95223,165319
1999,Aug,8,7174,7169,14343,1408157,1339286,2747443,65910,96744,162654
1999,Sep,9,6803,6805,13608,1113918,1153682,2267600,69492,104617,174108
1999,Oct,10,7266,7264,14530,1316375,1277962,2594337,80596,119429,200025
1999,Nov,11,7078,7081,14159,1235095,1217614,2452709,77657,125220,202877
1999,Dec,12,7315,7295,14610,1234434,1213548,2447982,82560,112188,194749
2000,Jan,1,6908,6926,13834,1125875,1166816,2292691,71559,90464,162022
2000,Feb,2,7010,7014,14024,1305123,1233741,2538864,61923,74265,136187
2000,Mar,3,7306,7306,14612,1252303,1260248,2512551,80416,114821,195237
2000,Apr,4,7445,7445,14890,1433209,1445557,2878766,79007,107336,186342
2000,May,5,7531,7538,15069,1330375,1322463,2652838,77890,103515,181405
